id,name,parent_id:id,phone,email,street,function
contact_1,Customer - 1,supplier_1,01700000000,customer1@gmail.com,Dhaka,Primary Contact
contact_2,Customer - 2,supplier_1,01700001234,customer2@gmail.com,Dhaka,Authorized Contact
contact_3,Customer - 3,supplier_1,0134234234,customer3@gmail.com,Dhaka,Finance Contact
contact_4,Customer - 4,supplier_2,01812345678,customer4@gmail.com,Dhaka,Primary Contact
contact_5,Customer - 5,supplier_2,01987654321,customer5@yahoo.com,Dhaka,Authorized Contact
contact_6,Customer - 6,supplier_2,01555555555,customer6.a@outlook.com,Dhaka,Finance Contact
contact_7,Customer - 7,supplier_3,01711111111,customer7@gmail.com,Dhaka,Primary Contact
contact_8,Customer - 8,supplier_3,01622222222,customer8@hotmail.com,Dhaka,Authorized Contact
contact_9,Customer - 9,supplier_3,01333333333,customer9@gmail.com,Dhaka,Finance Contact
contact_10,Customer - 10,supplier_4,01844444444,customer10@gmail.com,Dhaka,Primary Contact
contact_11,Customer - 11,supplier_4,01955555555,customer11@yahoo.com,Dhaka,Authorized Contact
contact_12,Customer - 12,supplier_4,01766666666,customer12@gmail.com,Dhaka,Finance Contact
contact_13,Customer - 13,supplier_5,01677777777,customer13@outlook.com,Dhaka,Primary Contact
contact_14,Customer - 14,supplier_5,01588888888,customer14@gmail.com,Dhaka,Authorized Contact
contact_15,Customer - 15,supplier_5,01999999999,customer15@yahoo.com,Dhaka,Finance Contact
contact_16,Customer - 16,supplier_6,01712345678,customer16@gmail.com,Dhaka,Primary Contact
contact_17,Customer - 17,supplier_6,01823456789,customer17@hotmail.com,Dhaka,Authorized Contact
contact_18,Customer - 18,supplier_6,01634567890,customer18@gmail.com,Dhaka,Finance Contact
contact_19,Customer - 19,supplier_7,01945678901,customer19@yahoo.com,Dhaka,Primary Contact
contact_20,Customer - 20,supplier_7,01756789012,customer20@gmail.com,Dhaka,Authorized Contact
contact_21,Customer - 21,supplier_7,01567890123,custoer21@outlook.com,Dhaka,Finance Contact
contact_22,Customer - 22,supplier_8,01878901234,customer22@gmail.com,Dhaka,Primary Contact
contact_23,Customer - 23,supplier_8,01689012345,customer23@yahoo.com,Dhaka,Authorized Contact
contact_24,Customer - 24,supplier_8,01990123456,customer24@gmail.com,Dhaka,Finance Contact
contact_25,Customer - 25,supplier_9,01701234567,customer25@hotmail.com,Dhaka,Primary Contact
contact_26,Customer - 26,supplier_9,01812345678,custoer26@gmail.com,Dhaka,Authorized Contact
contact_27,Customer - 27,supplier_9,01623456789,customer27@yahoo.com,Dhaka,Finance Contact
contact_28,Customer - 28,supplier_10,01934567890,customer28@gmail.com,Dhaka,Primary Contact
contact_29,Customer - 29,supplier_10,01745678901,customer29@outlook.com,Dhaka,Authorized Contact
contact_30,Customer - 30,supplier_10,01556789012,customer30@yahoo.com,Dhaka,Finance Contact
contact_31,Customer - 31,supplier_11,01867890123,customer31@gmail.com,Dhaka,Primary Contact
contact_32,Customer - 32,supplier_11,01678901234,customer32@hotmail.com,Dhaka,Authorized Contact
contact_33,Customer - 33,supplier_11,01989012345,customer33@gmail.com,Dhaka,Finance Contact
client_1,Customer - 34,supplier_3,01700000000,customer34@gmail.com,Dhaka,
client_2,Customer - 35,supplier_3,01700001234,customer35@gmail.com,"Khilkhet, Dhaka",
client_3,Customer - 36,supplier_3,01700001234,customer36@partex.com,"Mohakhali, Dhaka",
